Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2011T4;-24,649
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2011T3;-0,8456
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2011T2;-0,3485
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2011T1;0,4352
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2010T4;0,5571
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2010T3;0,4437
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2010T2;0,5109
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2010T1;-0,2753
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2009T4;-28,758
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2009T3;-34,499
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2009T2;-45,627
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2009T1;-36,042
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2008T4;0,3845
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2008T3;34,283
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2008T2;45,223
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2008T1;45,354
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2007T4;72,564
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2007T3;64,768
